Date,6758.T_Close
2017-05-09,4024.0
2017-05-10,4081.0
2017-05-11,4073.0
2017-05-12,4046.0
2017-05-15,4005.0
2017-05-16,4023.0
2017-05-17,4033.0
2017-05-18,3942.0
2017-05-19,3937.0
2017-05-22,3943.0
2017-05-23,3957.0
2017-05-24,3998.0
2017-05-25,4001.0
2017-05-26,4009.0
2017-05-29,4038.0
2017-05-30,4031.0
2017-05-31,4034.0
2017-06-01,4029.0
2017-06-02,4159.0
2017-06-05,4174.0
2017-06-06,4167.0
2017-06-07,4126.0
2017-06-08,4116.0
2017-06-09,4116.0
2017-06-12,4066.0
2017-06-13,4037.0
2017-06-14,4060.0
2017-06-15,4138.0
2017-06-16,4137.0
2017-06-19,4290.0
2017-06-20,4278.0
2017-06-21,4228.0
2017-06-22,4276.0
2017-06-23,4275.0
2017-06-26,4298.0
2017-06-27,4349.0
2017-06-28,4328.0
2017-06-29,4365.0
2017-06-30,4286.0
2017-07-03,4310.0
2017-07-04,4237.0
2017-07-05,4270.0
2017-07-06,4259.0
2017-07-07,4245.0
2017-07-10,4318.0
2017-07-11,4439.0
2017-07-12,4477.0
2017-07-13,4478.0
2017-07-14,4499.0
2017-07-17,4499.0
2017-07-18,4505.0
2017-07-19,4497.0
2017-07-20,4534.0
2017-07-21,4539.0
2017-07-24,4485.0
2017-07-25,4467.0
2017-07-26,4524.0
2017-07-27,4594.0
2017-07-28,4533.0
2017-07-31,4540.0
2017-08-01,4459.0
2017-08-02,4417.0
2017-08-03,4419.0
2017-08-04,4434.0
2017-08-07,4410.0
2017-08-08,4472.0
2017-08-09,4402.0
2017-08-10,4338.0
2017-08-11,4338.0
2017-08-14,4257.0
2017-08-15,4299.0
2017-08-16,4325.0
2017-08-17,4328.0
2017-08-18,4226.0
2017-08-21,4183.0
2017-08-22,4191.0
2017-08-23,4237.0
2017-08-24,4168.0
2017-08-25,4199.0
2017-08-28,4191.0
2017-08-29,4200.0
2017-08-30,4321.0
2017-08-31,4337.0
2017-09-01,4376.0
2017-09-04,4373.0
2017-09-05,4310.0
2017-09-06,4283.0
2017-09-07,4258.0
2017-09-08,4298.0
2017-09-11,4470.0
2017-09-12,4418.0
2017-09-13,4381.0
2017-09-14,4230.0
2017-09-15,4241.0
2017-09-18,4241.0
2017-09-19,4294.0
2017-09-20,4243.0
2017-09-21,4193.0
2017-09-22,4174.0
2017-09-25,4184.0
2017-09-26,4099.0
2017-09-27,4074.0
2017-09-28,4120.0
2017-09-29,4186.0
2017-10-02,4184.0
2017-10-03,4219.0
2017-10-04,4217.0
2017-10-05,4139.0
2017-10-06,4151.0
2017-10-09,4151.0
2017-10-10,4124.0
2017-10-11,4100.0
2017-10-12,4062.0
2017-10-13,4113.0
2017-10-16,4160.0
2017-10-17,4154.0
2017-10-18,4226.0
2017-10-19,4225.0
2017-10-20,4237.0
2017-10-23,4277.0
2017-10-24,4279.0
2017-10-25,4240.0
2017-10-26,4270.0
2017-10-27,4279.0
2017-10-30,4310.0
2017-10-31,4413.0
2017-11-01,4918.0
2017-11-02,5054.0
2017-11-03,5054.0
2017-11-06,5222.0
2017-11-07,5261.0
2017-11-08,5410.0
2017-11-09,5226.0
2017-11-10,5252.0
2017-11-13,5197.0
2017-11-14,5224.0
2017-11-15,5095.0
2017-11-16,5177.0
2017-11-17,5215.0
2017-11-20,5248.0
2017-11-21,5217.0
2017-11-22,5287.0
2017-11-23,5287.0
2017-11-24,5323.0
2017-11-27,5363.0
2017-11-28,5332.0
2017-11-29,5322.0
2017-11-30,5201.0
2017-12-01,5151.0
2017-12-04,5225.0
2017-12-05,5186.0
2017-12-06,5027.0
2017-12-07,5119.0
2017-12-08,5159.0
2017-12-11,5065.0
2017-12-12,5044.0
2017-12-13,5033.0
2017-12-14,5016.0
2017-12-15,5006.0
2017-12-18,5161.0
2017-12-19,5116.0
2017-12-20,5125.0
2017-12-21,5156.0
2017-12-22,5192.0
2017-12-25,5191.0
2017-12-26,5146.0
2017-12-27,5120.0
2017-12-28,5092.0
2017-12-29,5083.0
2018-01-01,5083.0
2018-01-02,5083.0
2018-01-03,5083.0
2018-01-04,5279.0
2018-01-05,5464.0
2018-01-08,5464.0
2018-01-09,5612.0
2018-01-10,5591.0
2018-01-11,5584.0
2018-01-12,5525.0
2018-01-15,5463.0
2018-01-16,5474.0
2018-01-17,5459.0
2018-01-18,5449.0
2018-01-19,5512.0
2018-01-22,5572.0
2018-01-23,5732.0
2018-01-24,5442.0
2018-01-25,5249.0
2018-01-26,5285.0
2018-01-29,5285.0
2018-01-30,5183.0
2018-01-31,5209.0
2018-02-01,5385.0
2018-02-02,5485.0
2018-02-05,5568.0
2018-02-06,5336.0
2018-02-07,5417.0
2018-02-08,5320.0
2018-02-09,5174.0
2018-02-12,5174.0
2018-02-13,5099.0
2018-02-14,5078.0
2018-02-15,5173.0
2018-02-16,5264.0
2018-02-19,5305.0
2018-02-20,5296.0
2018-02-21,5378.0
2018-02-22,5349.0
2018-02-23,5354.0
2018-02-26,5382.0
2018-02-27,5439.0
2018-02-28,5442.0
2018-03-01,5302.0
2018-03-02,5237.0
2018-03-05,5230.0
2018-03-06,5282.0
2018-03-07,5316.0
2018-03-08,5377.0
2018-03-09,5393.0
2018-03-12,5299.0
2018-03-13,5356.0
2018-03-14,5400.0
2018-03-15,5446.0
2018-03-16,5371.0
2018-03-19,5144.0
2018-03-20,5138.0
2018-03-21,5138.0
2018-03-22,5239.0
2018-03-23,5096.0
2018-03-26,5079.0
2018-03-27,5232.0
2018-03-28,5174.0
2018-03-29,5110.0
2018-03-30,5146.0
2018-04-02,5173.0
2018-04-03,5150.0
2018-04-04,5137.0
2018-04-05,5213.0
2018-04-06,5205.0
2018-04-09,5220.0
2018-04-10,5328.0
2018-04-11,5272.0
2018-04-12,5200.0
2018-04-13,5245.0
2018-04-16,5288.0
2018-04-17,5312.0
2018-04-18,5395.0
2018-04-19,5371.0
2018-04-20,5385.0
2018-04-23,5350.0
2018-04-24,5438.0
2018-04-25,5410.0
2018-04-26,5443.0
2018-04-27,5400.0
2018-04-30,5400.0
2018-05-01,5073.0
2018-05-02,5083.0
2018-05-03,5083.0
2018-05-04,5083.0
2018-05-07,5198.0
2018-05-08,5182.0
2018-05-09,5138.0
2018-05-10,5109.0
2018-05-11,5177.0
2018-05-14,5289.0
2018-05-15,5271.0
2018-05-16,5277.0
2018-05-17,5390.0
2018-05-18,5416.0
2018-05-21,5388.0
2018-05-22,5282.0
2018-05-23,5150.0
2018-05-24,5100.0
2018-05-25,5081.0
2018-05-28,5183.0
2018-05-29,5160.0
2018-05-30,5119.0
2018-05-31,5160.0
2018-06-01,5162.0
2018-06-04,5319.0
2018-06-05,5389.0
2018-06-06,5539.0
2018-06-07,5521.0
2018-06-08,5450.0
2018-06-11,5509.0
2018-06-12,5478.0
2018-06-13,5501.0
2018-06-14,5387.0
2018-06-15,5445.0
2018-06-18,5359.0
2018-06-19,5306.0
2018-06-20,5404.0
2018-06-21,5487.0
2018-06-22,5496.0
2018-06-25,5491.0
2018-06-26,5487.0
2018-06-27,5595.0
2018-06-28,5726.0
2018-06-29,5664.0
2018-07-02,5595.0
2018-07-03,5624.0
2018-07-04,5532.0
2018-07-05,5344.0
2018-07-06,5450.0
2018-07-09,5692.0
2018-07-10,5705.0
2018-07-11,5742.0
2018-07-12,5794.0
2018-07-13,5978.0
2018-07-16,5978.0
2018-07-17,6006.0
2018-07-18,5975.0
2018-07-19,5939.0
2018-07-20,5933.0
2018-07-23,5888.0
2018-07-24,5837.0
2018-07-25,5915.0
2018-07-26,5945.0
2018-07-27,5966.0
2018-07-30,5865.0
2018-07-31,5828.0
2018-08-01,6105.0
2018-08-02,6117.0
2018-08-03,6111.0
2018-08-06,6074.0
2018-08-07,6163.0
2018-08-08,6095.0
2018-08-09,6153.0
2018-08-10,6051.0
2018-08-13,5917.0
2018-08-14,6024.0
2018-08-15,6000.0
2018-08-16,5947.0
2018-08-17,6040.0
2018-08-20,6000.0
2018-08-21,5972.0
2018-08-22,5991.0
2018-08-23,5984.0
2018-08-24,6055.0
2018-08-27,6170.0
2018-08-28,6173.0
2018-08-29,6292.0
2018-08-30,6344.0
2018-08-31,6348.0
2018-09-03,6276.0
2018-09-04,6278.0
2018-09-05,6234.0
2018-09-06,6288.0
2018-09-07,6230.0
2018-09-10,6245.0
2018-09-11,6335.0
2018-09-12,6352.0
2018-09-13,6394.0
2018-09-14,6630.0
2018-09-17,6630.0
2018-09-18,6652.0
2018-09-19,6682.0
2018-09-20,6574.0
2018-09-21,6444.0
2018-09-24,6444.0
2018-09-25,6658.0
2018-09-26,6768.0
2018-09-27,6665.0
2018-09-28,6966.0
2018-10-01,6879.0
2018-10-02,6836.0
2018-10-03,6621.0
2018-10-04,6613.0
2018-10-05,6596.0
2018-10-08,6596.0
2018-10-09,6577.0
2018-10-10,6569.0
